Warning: DEEPSEEK_API_KEY not set; skipping zh-tw translation for 342 delta question(s)
Missing zh-tw translation for a8204b2de20ba4a405b1f5695801a2575d1c30299aec5261878e395a53a0ef96, using English fallback
Missing zh-tw translation for 64d1bdb563c14568347a0ffabdacb616ec64cd5ca44651c01712ec0d1981a8ed, using English fallback
Missing zh-tw translation for 9c0cf78253d7b1aa388764d6f8e5cd0741bb458801cffd45056b9f30219f2d53, using English fallback
Missing zh-tw translation for 6158b4972768c1ee0e2a2974bfeb2b434af43b84970c34aed698568d66dced15, using English fallback
Missing zh-tw translation for 70c6da5f379c5b0505549c9407b06ddcfbe55fe7d357d08561cc4572fe876e01, using English fallback
Missing zh-tw translation for 7ed14e178d53dfa7650e3ebb0ee975478c08cacc3571307646c095af2296034a, using English fallback
Missing zh-tw translation for 7f829ab9f3bfc22f997cd48499771b800723efca03d74890ef3cde68ac6b37b9, using English fallback
Missing zh-tw translation for da5ec43c03637c6cc04605fd936e0d4989b659d9df314c9782f4bc355f3e388a, using English fallback
Missing zh-tw translation for c78b10d000d974ae8edced4640a58872632e61090b061c5d3e1df3317890ccff, using English fallback
Missing zh-tw translation for 6c54c93b6b32b9b2ead1619f37c8c9ff0e04dc77a86e94a01989c8ceefea1371, using English fallback
Missing zh-tw translation for cec21be887a3f3f9d929b3d183f67cf24d891e34c686ac88fbb349c292c4298b, using English fallback
Missing zh-tw translation for 123afe0df833a9d9ab7d75321f88552505c5f5df4ade4ca23f29fd4d43f44051, using English fallback
Missing zh-tw translation for 1b683727a1c1b3c3234c3630d3220d2842238f4f90bd294a4ec5a0286ee74b7b, using English fallback
Missing zh-tw translation for ab3f809da896c2e6922f6c202d71ecab9dc4412ec991bb269409b90c31b75330, using English fallback
Missing zh-tw translation for 7c0453ec6ee780364bd917419bebe55d749d5ce155bc5d52cbbf85abbe1630ef, using English fallback
Missing zh-tw translation for a65f57cbb0d5b48f8dbafa8006e482d6fbde31442ccef8224cde8af316585ad1, using English fallback
Missing zh-tw translation for bc89df579aa7abc1b50e14bf6866b89ec6bf1ca8ff522aa14abd3a4e0aad497c, using English fallback
Missing zh-tw translation for 359d80515047dd17ee46384870434946704833ca607fd886ad7fd4eb857be21d, using English fallback
Missing zh-tw translation for 89366a1c2965ecb4e882507afad029bec135281ab367a0d7be06a72b7aa35336, using English fallback
Missing zh-tw translation for 38de5977f0fa1e58609c6a26fc42e8b5cf0fd51d39ee1c8b1f3da53e1a746482, using English fallback
Missing zh-tw translation for 808392c042d583d4900fca3cb58a65f0245decf487789def39cbe50948f5e602, using English fallback
Missing zh-tw translation for 2a263eb563837d68ba07810e70c157f8e8e59f09c280e2fe18d140b6713624d8, using English fallback
Missing zh-tw translation for 7c4f84f0f397e26cfc8b7adebbebb9364f155f27c2c121bf026f77996e8117c2, using English fallback
Missing zh-tw translation for 983a6f47c35af6ff7d3bf097232d45a185bfda8e4cd78e8c58a77183d8d9be70, using English fallback
Missing zh-tw translation for 874036900a3151fb2588597d72722e51a1ba8d554d969fbcd8a1a178dc819f9e, using English fallback
Missing zh-tw translation for 97cd56a2b003c508f83b441d74d3ef7c23225b0e084b0b587beabea1a372d5e1, using English fallback
Missing zh-tw translation for d30a029ca718c63f0348ae5b9535b91db2e30cbc8174cc2a9411b507ca675b05, using English fallback
Missing zh-tw translation for c44d50246c6ca761065d699ee384e3e60208c2366599f5cc395350f23a137986, using English fallback
